cod,NOME
260530,Exu
230580,Ipu
352390,Itu
313880,Luz
293250,Una
355590,Uru
240020,Açu
350800,Buri
290750,Catu
230425,Cruz
250590,Emas
420519,Ermo
312520,Fama
150300,Faro
312930,Iapu
260650,Iati
291330,Ichu
230540,Icó
431043,Ipê
420800,Itá
352450,Jaci
240540,Japi
431113,Jari
110011,Jaru
230720,Jati
352530,Jaú
260830,Jupi
250800,Juru
500515,Juti
291880,Laje
411320,Lapa
352670,Leme
352710,Lins
250910,Mari
431210,Mata
150470,Moju
421180,Ouro
240930,Patu
315010,Piau
171750,Pium
353980,Poá
316990,Ubá
510850,Vera
240010,Acari
150030,Afuá
430010,Agudo
170040,Almas
220040,Altos
410105,Anahy
150085,Anapu
130010,Anori
290160,Antas
240100,Apodi
130014,Apuí
290210,Araci
210095,Arame
250090,Arara
250908,Arara
210100,Arari
310420,Arcos
330022,Areal
250110,Areia
240120,Arês
350400,Assis
350430,Avaí
150110,Bagre
430160,Bagé
290270,Barra
230200,Barro
350600,Bauru
310670,Betim
310690,Bicas
350640,Bilac
240165,Bodó
130080,Borba
350720,Borá
430260,Braga
210210,Brejo
310925,Bugre
420310,Caibi
290540,Cairu
350995,Canas
250403,Capim
330120,Carmo
430490,Casca
520430,Caçu
290510,Caém
230380,Cedro
260430,Cedro
520540,Ceres
430543,Chuí
290790,Cipó
130120,Coari
220270,Cocal
290810,Cocos
210330,Codó
213307,Codó
250460,Conde
290860,Conde
250470,Congo
351300,Cotia
500330,Coxim
230420,Crato
280190,Cumbe
351360,Cunha
312100,Datas
312125,Delta
520753,Faina
410755,Farol
430810,Feliz
291120,Gandu
351920,Iacri
351925,Iaras
291190,Iaçu
410975,Ibema
420675,Ibiam
312950,Ibiá
210510,Icatu
351980,Icém
351990,Iepê
270310,Igaci
313040,Ijaci
431020,Ijuí
431033,Imbé
250680,Ingá
313115,Ipaba
420760,Ipira
260730,Ipubi
352130,Ipuã
420780,Irani
411070,Irati
420785,Irati
431050,Iraí
320265,Irupi
280310,Itabi
291510,Itagi
352200,Itaju
431065,Itati
352180,Itaí
240490,Itaú
352380,Itobi
291733,Iuiú
411140,Ivaí
431080,Ivoti
320300,Iúna
352480,Jales
510500,Jauru
510510,Juara
431115,Jóia
420930,Lages
250810,Lagoa
240670,Lajes
313790,Lamim
240720,Macau
421010,Mafra
352830,Magda
330250,Magé
292010,Mairi
250880,Malta
313930,Manga
431180,Marau
230780,Marco
352940,Mauá
314230,Moeda
314240,Moema
320380,Muqui
314400,Mutum
314435,Naque
240810,Natal
230945,Ocara
230950,Orós
421187,Paial
314650,Pains
314660,Paiva
314670,Palma
314795,Patis
251080,Patos
261080,Pedra
171660,Peixe
421250,Penha
314960,Pequi
220800,Picos
251150,Pilar
270690,Pilar
411910,Piên
220850,Porto
521830,Posse
354075,Potim
315240,Poté
292550,Prado
251220,Prata
315280,Prata
315660,Rubim
354480,Sales
354520,Salto
251530,Sapé
421750,Seara
320500,Serra
316710,Serro
510790,Sinop
150790,Soure
251620,Sousa
251630,Sumé
241390,Taipu
421780,Taió
432110,Tapes
231330,Tauá
130420,Tefé
280730,Telha
241105,Tibau
211220,Timon
316890,Tiros
432215,Tunas
355500,Tupã
412796,Turvo
421880,Turvo
293200,Uauá
317000,Ubaí
355560,Uchoa
231370,Umari
317040,Unaí
412840,Uraí
412860,Verê
211280,Viana
320510,Viana
150820,Vigia
150830,Viseu
421970,Xaxim
353380,Óleo
290020,Abaré
150020,Acará
220005,Acauã
350020,Adolfo
350030,Aguaí
350070,Agudos
250020,Aguiar
230040,Aiuaba
310130,Alagoa
320020,Alegre
350090,Altair
160010,Amapá
250073,Amparo
350190,Amparo
270020,Anadia
290120,Anagé
130008,Anamã
170105,Angico
350270,Apiaí
290190,Aporá
520150,Aporé
350310,Arandu
350330,Araras
280040,Arauá
310400,Araxá
520160,Araçu
310430,Areado
250120,Areial
350350,Areias
310450,Arinos
350390,Arujá
410190,Assaí
230170,Aurora
420190,Aurora
350450,Avaré
150100,Aveiro
210110,Axixá
210130,Bacuri
230180,Baixio
150120,Baião
310500,Baldim
520310,Baliza
210140,Balsas
350520,Bariri
220120,Barras
430165,Barão
350580,Bastos
250180,Bayeux
150140,Belém
250190,Belém
270080,Belém
310650,Berilo
130063,Beruri
350690,Bofete
140015,Bonfim
310810,Bonfim
150160,Bonito
260230,Bonito
290405,Bonito
500220,Bonito
280067,Boquim
350745,Borebi
430258,Bozano
150180,Breves
350790,Brotas
120013,Bujari
150190,Bujaru
210220,Buriti
430270,Butiá
110003,Cabixi
110004,Cacoal
311000,Caeté
350890,Caiabu
311010,Caiana
240200,Caicó
350910,Caiuá
210250,Cajari
350925,Cajati
350930,Cajobi
311020,Cajuri
350940,Cajuru
311030,Caldas
420315,Calmon
290580,Camamu
410370,Cambé
270160,Canapi
311170,Canaã
430440,Canela
430460,Canoas
140017,Cantá
270170,Capela
280130,Capela
430471,Caraá
311300,Caraí
280140,Carira
410490,Castro
311545,Catuji
311547,Catuti
210300,Caxias
210310,Cedral
351130,Cedral
311600,Chalé
230390,Chaval
150250,Chaves
230393,Choró
351200,Colina
311680,Coluna
430570,Condor
290910,Coribe
250500,Cubati
250510,Cuité
520660,Cumari
260490,Cumaru
260500,Cupira
150285,Curuá
160021,Cutias
510345,Denise
312200,Divino
170730,Dueré
351460,Dumont
520740,Edéia
130150,Envira
230427,Ererê
260520,Escada
430770,Esteio
312450,Estiva
120030,Feijó
312590,Ferros
260560,Flores
